Trace1,
Freq,,Amp,,
              500000,Hz,              -74.21, dBm,
              515833,Hz,              -63.11, dBm,
              531666,Hz,              -61.62, dBm,
              547499,Hz,              -60.51, dBm,
              563332,Hz,              -59.71, dBm,
              579165,Hz,              -63.03, dBm,
              594998,Hz,              -67.63, dBm,
              610831,Hz,              -64.12, dBm,
              626664,Hz,              -61.70, dBm,
              642497,Hz,              -61.66, dBm,
              658330,Hz,              -62.65, dBm,
              674163,Hz,              -58.74, dBm,
              689996,Hz,              -60.69, dBm,
              705829,Hz,              -55.49, dBm,
              721662,Hz,              -52.82, dBm,
              737495,Hz,              -54.37, dBm,
              753328,Hz,              -57.83, dBm,
              769161,Hz,              -59.14, dBm,
              784994,Hz,              -54.74, dBm,
              800827,Hz,              -51.51, dBm,
              816660,Hz,              -46.02, dBm,
              832493,Hz,              -42.29, dBm,
              848326,Hz,              -34.85, dBm,
              864159,Hz,              -31.04, dBm,
              879992,Hz,              -25.19, dBm,
              895825,Hz,              -19.94, dBm,
              911658,Hz,              -17.41, dBm,
              927491,Hz,              -13.54, dBm,
              943324,Hz,              -12.08, dBm,
              959157,Hz,               -9.59, dBm,
              974990,Hz,               -8.04, dBm,
              990823,Hz,               -7.58, dBm,
             1006656,Hz,               -7.44, dBm,
             1022489,Hz,               -7.72, dBm,
             1038322,Hz,               -8.93, dBm,
             1054155,Hz,               -9.79, dBm,
             1069988,Hz,              -12.44, dBm,
             1085821,Hz,              -15.96, dBm,
             1101654,Hz,              -18.31, dBm,
             1117487,Hz,              -23.23, dBm,
             1133320,Hz,              -25.84, dBm,
             1149153,Hz,              -32.16, dBm,
             1164986,Hz,              -39.36, dBm,
             1180819,Hz,              -42.49, dBm,
             1196652,Hz,              -49.76, dBm,
             1212485,Hz,              -52.50, dBm,
             1228318,Hz,              -55.69, dBm,
             1244151,Hz,              -54.24, dBm,
             1259984,Hz,              -53.19, dBm,
             1275817,Hz,              -56.99, dBm,
             1291650,Hz,              -62.33, dBm,
             1307483,Hz,              -66.73, dBm,
             1323316,Hz,              -65.87, dBm,
             1339149,Hz,              -64.26, dBm,
             1354982,Hz,              -58.60, dBm,
             1370815,Hz,              -59.64, dBm,
             1386648,Hz,              -66.99, dBm,
             1402481,Hz,              -67.46, dBm,
             1418314,Hz,              -61.63, dBm,
             1434147,Hz,              -59.39, dBm,
             1449980,Hz,              -64.22, dBm,
             1465813,Hz,              -65.91, dBm,
             1481646,Hz,              -66.26, dBm,
             1497479,Hz,              -68.21, dBm,
             1513312,Hz,              -68.13, dBm,
             1529145,Hz,              -68.90, dBm,
             1544978,Hz,              -66.14, dBm,
             1560811,Hz,              -68.28, dBm,
             1576644,Hz,              -72.05, dBm,
             1592477,Hz,              -74.17, dBm,
             1608310,Hz,              -73.69, dBm,
             1624143,Hz,              -70.53, dBm,
             1639976,Hz,              -69.54, dBm,
             1655809,Hz,              -73.78, dBm,
             1671642,Hz,              -79.91, dBm,
             1687475,Hz,              -77.94, dBm,
             1703308,Hz,              -74.14, dBm,
             1719141,Hz,              -75.94, dBm,
             1734974,Hz,              -75.12, dBm,
             1750807,Hz,              -72.92, dBm,
             1766640,Hz,              -73.30, dBm,
             1782473,Hz,              -76.47, dBm,
             1798306,Hz,              -74.25, dBm,
             1814139,Hz,              -75.52, dBm,
             1829972,Hz,              -75.91, dBm,
             1845805,Hz,              -75.65, dBm,
             1861638,Hz,              -75.08, dBm,
             1877471,Hz,              -81.64, dBm,
             1893304,Hz,              -84.22, dBm,
             1909137,Hz,              -77.17, dBm,
             1924970,Hz,              -74.11, dBm,
             1940803,Hz,              -75.25, dBm,
             1956636,Hz,              -72.69, dBm,
             1972469,Hz,              -73.05, dBm,
             1988302,Hz,              -71.35, dBm,
             2004135,Hz,              -70.99, dBm,
             2019968,Hz,              -73.93, dBm,
             2035801,Hz,              -74.33, dBm,
             2051634,Hz,              -73.85, dBm,
             2067467,Hz,              -78.64, dBm,
             2083300,Hz,              -80.43, dBm,
             2099133,Hz,              -78.91, dBm,
             2114966,Hz,              -79.02, dBm,
             2130799,Hz,              -79.43, dBm,
             2146632,Hz,              -71.75, dBm,
             2162465,Hz,              -71.62, dBm,
             2178298,Hz,              -76.10, dBm,
             2194131,Hz,              -78.09, dBm,
             2209964,Hz,              -74.51, dBm,
             2225797,Hz,              -72.95, dBm,
             2241630,Hz,              -75.13, dBm,
             2257463,Hz,              -76.65, dBm,
             2273296,Hz,              -76.83, dBm,
             2289129,Hz,              -74.15, dBm,
             2304962,Hz,              -77.90, dBm,
             2320795,Hz,              -81.97, dBm,
             2336628,Hz,              -76.99, dBm,
             2352461,Hz,              -73.63, dBm,
             2368294,Hz,              -76.00, dBm,
             2384127,Hz,              -78.75, dBm,
             2399960,Hz,              -82.61, dBm,
             2415793,Hz,              -75.54, dBm,
             2431626,Hz,              -76.58, dBm,
             2447459,Hz,              -75.63, dBm,
             2463292,Hz,              -73.09, dBm,
             2479125,Hz,              -74.24, dBm,
             2494958,Hz,              -85.04, dBm,
             2510791,Hz,              -80.64, dBm,
             2526624,Hz,              -73.98, dBm,
             2542457,Hz,              -75.32, dBm,
             2558290,Hz,              -76.05, dBm,
             2574123,Hz,              -76.49, dBm,
             2589956,Hz,              -73.28, dBm,
             2605789,Hz,              -75.78, dBm,
             2621622,Hz,              -74.20, dBm,
             2637455,Hz,              -72.51, dBm,
             2653288,Hz,              -71.22, dBm,
             2669121,Hz,              -71.15, dBm,
             2684954,Hz,              -73.95, dBm,
             2700787,Hz,              -69.31, dBm,
             2716620,Hz,              -65.95, dBm,
             2732453,Hz,              -67.17, dBm,
             2748286,Hz,              -67.66, dBm,
             2764119,Hz,              -65.47, dBm,
             2779952,Hz,              -61.64, dBm,
             2795785,Hz,              -60.57, dBm,
             2811618,Hz,              -58.47, dBm,
             2827451,Hz,              -52.21, dBm,
             2843284,Hz,              -47.81, dBm,
             2859117,Hz,              -40.67, dBm,
             2874950,Hz,              -34.88, dBm,
             2890783,Hz,              -31.87, dBm,
             2906616,Hz,              -27.19, dBm,
             2922449,Hz,              -25.26, dBm,
             2938282,Hz,              -21.75, dBm,
             2954115,Hz,              -20.29, dBm,
             2969948,Hz,              -18.32, dBm,
             2985781,Hz,              -17.24, dBm,
             3001614,Hz,              -17.06, dBm,
             3017447,Hz,              -17.35, dBm,
             3033280,Hz,              -17.79, dBm,
             3049113,Hz,              -19.43, dBm,
             3064946,Hz,              -22.03, dBm,
             3080779,Hz,              -23.88, dBm,
             3096612,Hz,              -27.89, dBm,
             3112445,Hz,              -30.04, dBm,
             3128278,Hz,              -35.24, dBm,
             3144111,Hz,              -38.12, dBm,
             3159944,Hz,              -45.13, dBm,
             3175777,Hz,              -52.61, dBm,
             3191610,Hz,              -56.84, dBm,
             3207443,Hz,              -62.56, dBm,
             3223276,Hz,              -63.96, dBm,
             3239109,Hz,              -67.14, dBm,
             3254942,Hz,              -63.88, dBm,
             3270775,Hz,              -64.91, dBm,
             3286608,Hz,              -64.63, dBm,
             3302441,Hz,              -64.66, dBm,
             3318274,Hz,              -66.72, dBm,
             3334107,Hz,              -69.80, dBm,
             3349940,Hz,              -73.15, dBm,
             3365773,Hz,              -74.97, dBm,
             3381606,Hz,              -72.00, dBm,
             3397439,Hz,              -73.39, dBm,
             3413272,Hz,              -77.73, dBm,
             3429105,Hz,              -73.43, dBm,
             3444938,Hz,              -73.95, dBm,
             3460771,Hz,              -74.68, dBm,
             3476604,Hz,              -75.96, dBm,
             3492437,Hz,              -77.95, dBm,
             3508270,Hz,              -73.96, dBm,
             3524103,Hz,              -75.81, dBm,
             3539936,Hz,              -73.62, dBm,
             3555769,Hz,              -74.83, dBm,
             3571602,Hz,              -78.95, dBm,
             3587435,Hz,              -81.58, dBm,
